"직무별(1)",2023,2024,2025
"IT기획자",481654,562993,578206
"IT컨설턴트",476404,471166,522340
"업무분석가",532956,436765,475154
"데이터분석가",380190,376271,414600
"IT PM",456225,443955,492039
"IT아키텍트",534135,492609,541621
"UI/UX기획/개발자",315898,326566,336666
"UI/UX디자이너",224150,251272,251671
"응용SW개발자",341404,337061,378250
"시스템SW개발자",278819,296070,284888
"정보시스템운용자",435608,492943,519469
"IT지원기술자",215203,245535,252196
"IT마케터",483647,536729,575293
"IT품질관리자",442826,470490,538638
"IT테스터",189146,173328,197714
"IT감리",485624,502494,572934
"정보보안전문가",454136,478500,507887
