order_id,order_date,customer_id,category,region,channel,quantity,unit_price,discount_rate,returned,delivery_days,rating
O00001,2025-11-10,C0134,Electronics,Daegu,App,1,141300.0,0.0,0,6.0,4.0
O00002,2025-07-01,C0184,Home,Incheon,App,3,29400.0,0.0,0,7.0,4.0
O00003,2025-11-29,C0047,Food,Busan,Web,1,17400.0,0.0,0,2.0,5.0
O00004,2025-10-16,C0188,Home,Daegu,App,2,28100.0,0.0,0,2.0,5.0
O00005,2025-02-08,C0278,Fashion,Daegu,Web,2,48900.0,0.1,0,1.0,4.0
O00006,2025-12-26,C0041,Books,Daegu,App,2,19400.0,0.0,0,4.0,4.0
O00007,2025-11-07,C0099,Fashion,Incheon,App,1,42700.0,0.2,0,4.0,4.0
O00008,2025-11-12,C0209,Food,Daejeon,Web,1,14700.0,0.0,0,1.0,5.0
O00009,2025-02-23,C0186,Home,Busan,Web,1,30000.0,0.0,1,5.0,5.0
O00010,2025-07-06,C0203,Electronics,Daejeon,App,1,152700.0,0.0,0,1.0,4.0
O00011,2025-06-03,C0168,Home,Busan,Web,2,31100.0,0.1,0,6.0,4.0
O00012,2025-12-15,C0205,Electronics,Busan,App,1,149100.0,0.0,0,5.0,3.0
O00013,2025-09-24,C0183,Books,Incheon,App,1,14900.0,0.05,0,6.0,4.0
O00014,2025-11-21,C0023,Food,Incheon,App,1,15000.0,0.0,0,1.0,5.0
O00015,2025-07-03,C0226,Fashion,Daegu,Web,2,54400.0,0.3,0,7.0,2.0
O00016,2025-04-05,C0135,Home,Busan,App,1,36000.0,0.0,0,4.0,3.0
O00017,2025-08-18,C0016,Food,Daejeon,App,2,13000.0,0.05,0,7.0,3.0
O00018,2025-01-27,C0123,Fashion,Busan,Web,1,61700.0,0.2,0,5.0,3.0
O00019,2025-11-22,C0131,Fashion,Incheon,Web,4,36200.0,0.0,1,5.0,4.0
O00020,2025-09-19,C0027,Home,Daejeon,Web,2,33200.0,0.0,0,1.0,4.0
O00021,2025-11-06,C0299,Fashion,Incheon,Web,1,43600.0,0.2,0,5.0,4.0
O00022,2025-05-27,C0067,Food,Daegu,App,1,18800.0,0.0,0,4.0,3.0
O00023,2025-12-25,C0100,Electronics,Daejeon,App,1,150000.0,0.0,0,6.0,2.0
O00024,2025-12-07,C0133,Books,Daejeon,App,1,11300.0,0.05,0,5.0,4.0
O00025,2025-11-11,C0250,Fashion,Incheon,Web,1,60900.0,0.0,1,1.0,3.0
O00026,2025-03-22,C0223,Home,Incheon,Web,30,40300.0,0.2,0,7.0,4.0
