주문일자,지점,카테고리,매출액,수량
2024-03-22,본점,패션,80097,2
2024-01-29,강남점,스포츠,34868,6
2024-03-10,본점,도서,118604,1
2024-01-04,본점,가전,68990,5
2024-03-18,본점,도서,60124,6
2024-03-24,대구점,뷰티,65787,
2024-03-16,잠실점,패션,,6
2024-02-24,잠실점,식품,48758,2
2024-02-13,본점,패션,107595,1
2024-02-15,잠실점,도서,77342,1
2024-02-28,,패션,107230,1
2024-03-11,잠실점,스포츠,170141,3
2024-03-14,강남점,스포츠,26233,1
2024-03-25,강남점,식품,28916,2
2024-01-13,부산점,식품,126858,6
2024-02-16,강남점,식품,101132,2
2024-03-26,잠실점,스포츠,177878,1
2024-03-18,강남점,도서,72175,2
2024-02-29,부산점,식품,175772,6
2024-03-12,강남점,스포츠,93008,1
2024-01-30,본점,식품,113162,3
2024-01-09,강남점,도서,90490,2
2024-03-24,부산점,뷰티,176519,4
2024-01-19,잠실점,가전,,6
2024-03-12,대구점,식품,161245,4
2024-03-15,부산점,식품,65493,2
2024-03-06,부산점,패션,20351,1
2024-01-20,강남점,스포츠,118666,5
2024-01-09,부산점,뷰티,164208,4
2024-03-08,잠실점,도서,11009,6
2024-01-15,대구점,식품,176024,3
2024-01-15,잠실점,뷰티,49460,4
2024-01-01,잠실점,도서,54832,5
2024-01-14,잠실점,스포츠,141080,5
2024-01-26,강남점,식품,50349,5
2024-03-08,본점,도서,92975,4
2024-01-03,본점,식품,88612,2
2024-01-08,강남점,도서,28645,1
2024-03-03,본점,도서,40967,2
2024-03-25,부산점,도서,51287,3
2024-03-08,대구점,뷰티,63521,5
2024-03-29,강남점,스포츠,89714,4
2024-03-26,잠실점,뷰티,143679,4
2024-01-16,강남점,가전,24784,3
2024-01-03,대구점,도서,68323,5
2024-01-29,본점,패션,173439,1
2024-01-30,본점,패션,4200000,1
2024-03-06,강남점,식품,135248,2
2024-03-10,강남점,스포츠,157695,95
2024-03-01,강남점,뷰티,114708,2
2024-01-13,본점,스포츠,120997,3
2024-02-24,부산점,뷰티,22200,6
2024-03-24,본점,패션,113544,6
2024-02-13,본점,가전,58224,2
2024-03-09,부산점,가전,118593,2
2024-02-05,부산점,가전,27761,4
2024-03-11,본점,패션,178955,5
2024-01-02,본점,가전,51597,4
2024-03-03,부산점,가전,,1
2024-01-22,부산점,패션,110346,3
2024-02-28,잠실점,뷰티,153691,6
2024-03-03,강남점,가전,85780,2
2024-01-08,대구점,스포츠,150133,1
2024-02-10,본점,패션,161138,4
2024-03-05,대구점,가전,,5
2024-01-11,강남점,패션,163984,1
2024-03-27,강남점,뷰티,39427,5
2024-02-01,대구점,도서,18418,5
2024-01-11,부산점,스포츠,161006,
2024-03-07,잠실점,식품,61545,6
2024-02-10,강남점,식품,111752,2
2024-03-26,잠실점,뷰티,90883,1
2024-01-02,부산점,도서,155585,1
2024-01-10,대구점,가전,140614,3
2024-01-17,잠실점,패션,72037,95
2024-02-06,강남점,뷰티,150401,6
2024-02-08,대구점,스포츠,146658,1
2024-03-26,대구점,식품,35154,2
