sido_code,sido_name,sigungu_code,sigungu_name,region_code,region_name,source_page
11,서울특별시,230,강남구,11230,서울특별시 강남구,4
11,서울특별시,250,강동구,11250,서울특별시 강동구,4
11,서울특별시,090,강북구,11090,서울특별시 강북구,4
11,서울특별시,160,강서구,11160,서울특별시 강서구,4
11,서울특별시,210,관악구,11210,서울특별시 관악구,4
11,서울특별시,050,광진구,11050,서울특별시 광진구,4
11,서울특별시,170,구로구,11170,서울특별시 구로구,4
11,서울특별시,180,금천구,11180,서울특별시 금천구,4
11,서울특별시,110,노원구,11110,서울특별시 노원구,4
11,서울특별시,100,도봉구,11100,서울특별시 도봉구,4
11,서울특별시,060,동대문구,11060,서울특별시 동대문구,4
11,서울특별시,200,동작구,11200,서울특별시 동작구,4
11,서울특별시,140,마포구,11140,서울특별시 마포구,4
11,서울특별시,130,서대문구,11130,서울특별시 서대문구,4
11,서울특별시,220,서초구,11220,서울특별시 서초구,4
11,서울특별시,040,성동구,11040,서울특별시 성동구,4
11,서울특별시,080,성북구,11080,서울특별시 성북구,4
11,서울특별시,240,송파구,11240,서울특별시 송파구,4
11,서울특별시,150,양천구,11150,서울특별시 양천구,4
11,서울특별시,190,영등포구,11190,서울특별시 영등포구,4
11,서울특별시,030,용산구,11030,서울특별시 용산구,4
11,서울특별시,120,은평구,11120,서울특별시 은평구,4
11,서울특별시,010,종로구,11010,서울특별시 종로구,4
11,서울특별시,020,중구,11020,서울특별시 중구,4
11,서울특별시,070,중랑구,11070,서울특별시 중랑구,4
21,부산광역시,120,강서구,21120,부산광역시 강서구,4
21,부산광역시,110,금정구,21110,부산광역시 금정구,4
21,부산광역시,070,남구,21070,부산광역시 남구,4
21,부산광역시,030,동구,21030,부산광역시 동구,4
21,부산광역시,060,동래구,21060,부산광역시 동래구,4
21,부산광역시,050,부산진구,21050,부산광역시 부산진구,4
21,부산광역시,080,북구,21080,부산광역시 북구,4
21,부산광역시,150,사상구,21150,부산광역시 사상구,4
21,부산광역시,100,사하구,21100,부산광역시 사하구,4
21,부산광역시,020,서구,21020,부산광역시 서구,4
21,부산광역시,140,수영구,21140,부산광역시 수영구,4
21,부산광역시,130,연제구,21130,부산광역시 연제구,4
21,부산광역시,040,영도구,21040,부산광역시 영도구,4
21,부산광역시,010,중구,21010,부산광역시 중구,4
21,부산광역시,090,해운대구,21090,부산광역시 해운대구,4
21,부산광역시,310,기장군,21310,부산광역시 기장군,4
22,대구광역시,040,남구,22040,대구광역시 남구,4
22,대구광역시,070,달서구,22070,대구광역시 달서구,4
22,대구광역시,020,동구,22020,대구광역시 동구,4
22,대구광역시,050,북구,22050,대구광역시 북구,4
22,대구광역시,030,서구,22030,대구광역시 서구,4
22,대구광역시,060,수성구,22060,대구광역시 수성구,5
22,대구광역시,010,중구,22010,대구광역시 중구,5
22,대구광역시,310,달성군,22310,대구광역시 달성군,5
23,인천광역시,070,계양구,23070,인천광역시 계양구,5
23,인천광역시,030,남구,23030,인천광역시 남구,5
23,인천광역시,050,남동구,23050,인천광역시 남동구,5
23,인천광역시,020,동구,23020,인천광역시 동구,5
23,인천광역시,060,부평구,23060,인천광역시 부평구,5
23,인천광역시,080,서구,23080,인천광역시 서구,5
23,인천광역시,040,연수구,23040,인천광역시 연수구,5
23,인천광역시,010,중구,23010,인천광역시 중구,5
23,인천광역시,310,강화군,23310,인천광역시 강화군,5
23,인천광역시,320,옹진군,23320,인천광역시 옹진군,5
25,대전광역시,050,대덕구,25050,대전광역시 대덕구,5
25,대전광역시,010,동구,25010,대전광역시 동구,5
25,대전광역시,030,서구,25030,대전광역시 서구,5
25,대전광역시,040,유성구,25040,대전광역시 유성구,5
25,대전광역시,020,중구,25020,대전광역시 중구,5
29,세종특별자치시,010,세종시,29010,세종특별자치시 세종시,5
24,광주광역시,050,광산구,24050,광주광역시 광산구,5
24,광주광역시,030,남구,24030,광주광역시 남구,5
24,광주광역시,010,동구,24010,광주광역시 동구,5
24,광주광역시,040,북구,24040,광주광역시 북구,5
24,광주광역시,020,서구,24020,광주광역시 서구,5
26,울산광역시,020,남구,26020,울산광역시 남구,5
26,울산광역시,030,동구,26030,울산광역시 동구,5
26,울산광역시,040,북구,26040,울산광역시 북구,5
26,울산광역시,010,중구,26010,울산광역시 중구,5
26,울산광역시,310,울주군,26310,울산광역시 울주군,5
31,경기도,100,고양시,31100,경기도 고양시,5
31,경기도,110,과천시,31110,경기도 과천시,5
31,경기도,060,광명시,31060,경기도 광명시,5
31,경기도,250,광주시,31250,경기도 광주시,5
31,경기도,120,구리시,31120,경기도 구리시,5
31,경기도,160,군포시,31160,경기도 군포시,5
31,경기도,230,김포시,31230,경기도 김포시,5
31,경기도,130,남양주시,31130,경기도 남양주시,5
31,경기도,080,동두천시,31080,경기도 동두천시,5
31,경기도,050,부천시,31050,경기도 부천시,5
31,경기도,020,성남시,31020,경기도 성남시,5
31,경기도,010,수원시,31010,경기도 수원시,5
31,경기도,150,시흥시,31150,경기도 시흥시,5
31,경기도,090,안산시,31090,경기도 안산시,5
31,경기도,220,안성시,31220,경기도 안성시,5
31,경기도,040,안양시,31040,경기도 안양시,5
31,경기도,260,양주시,31260,경기도 양주시,5
31,경기도,140,오산시,31140,경기도 오산시,5
31,경기도,190,용인시,31190,경기도 용인시,5
31,경기도,170,의왕시,31170,경기도 의왕시,6
31,경기도,030,의정부시,31030,경기도 의정부시,6
31,경기도,210,이천시,31210,경기도 이천시,6
31,경기도,200,파주시,31200,경기도 파주시,6
31,경기도,070,평택시,31070,경기도 평택시,6
31,경기도,270,포천시,31270,경기도 포천시,6
31,경기도,180,하남시,31180,경기도 하남시,6
31,경기도,240,화성시,31240,경기도 화성시,6
31,경기도,370,가평군,31370,경기도 가평군,6
31,경기도,380,양평군,31380,경기도 양평군,6
31,경기도,280,여주시,31280,경기도 여주시,6
31,경기도,350,연천군,31350,경기도 연천군,6
32,강원도,030,강릉시,32030,강원도 강릉시,6
32,강원도,040,동해시,32040,강원도 동해시,6
32,강원도,070,삼척시,32070,강원도 삼척시,6
32,강원도,060,속초시,32060,강원도 속초시,6
32,강원도,020,원주시,32020,강원도 원주시,6
32,강원도,010,춘천시,32010,강원도 춘천시,6
32,강원도,050,태백시,32050,강원도 태백시,6
32,강원도,400,고성군,32400,강원도 고성군,6
32,강원도,380,양구군,32380,강원도 양구군,6
32,강원도,410,양양군,32410,강원도 양양군,6
32,강원도,330,영월군,32330,강원도 영월군,6
32,강원도,390,인제군,32390,강원도 인제군,6
32,강원도,350,정선군,32350,강원도 정선군,6
32,강원도,360,철원군,32360,강원도 철원군,6
32,강원도,340,평창군,32340,강원도 평창군,6
32,강원도,310,홍천군,32310,강원도 홍천군,6
32,강원도,370,화천군,32370,강원도 화천군,6
32,강원도,320,횡성군,32320,강원도 횡성군,6
33,충청북도,030,제천시,33030,충청북도 제천시,6
33,충청북도,040,청주시,33040,충청북도 청주시,6
33,충청북도,020,충주시,33020,충청북도 충주시,6
33,충청북도,360,괴산군,33360,충청북도 괴산군,6
33,충청북도,380,단양군,33380,충청북도 단양군,6
33,충청북도,320,보은군,33320,충청북도 보은군,6
33,충청북도,340,영동군,33340,충청북도 영동군,6
33,충청북도,330,옥천군,33330,충청북도 옥천군,6
33,충청북도,370,음성군,33370,충청북도 음성군,6
33,충청북도,390,증평군,33390,충청북도 증평군,6
33,충청북도,350,진천군,33350,충청북도 진천군,6
34,충청남도,070,계룡시,34070,충청남도 계룡시,6
34,충청남도,020,공주시,34020,충청남도 공주시,6
34,충청남도,060,논산시,34060,충청남도 논산시,6
34,충청남도,030,보령시,34030,충청남도 보령시,6
34,충청남도,050,서산시,34050,충청남도 서산시,6
34,충청남도,040,아산시,34040,충청남도 아산시,6
34,충청남도,010,천안시,34010,충청남도 천안시,6
34,충청남도,310,금산군,34310,충청남도 금산군,6
34,충청남도,080,당진시,34080,충청남도 당진시,6
34,충청남도,330,부여군,34330,충청남도 부여군,7
34,충청남도,340,서천군,34340,충청남도 서천군,7
34,충청남도,370,예산군,34370,충청남도 예산군,7
34,충청남도,350,청양군,34350,충청남도 청양군,7
34,충청남도,380,태안군,34380,충청남도 태안군,7
34,충청남도,360,홍성군,34360,충청남도 홍성군,7
37,경상북도,100,경산시,37100,경상북도 경산시,7
37,경상북도,020,경주시,37020,경상북도 경주시,7
37,경상북도,050,구미시,37050,경상북도 구미시,7
37,경상북도,030,김천시,37030,경상북도 김천시,7
37,경상북도,090,문경시,37090,경상북도 문경시,7
37,경상북도,080,상주시,37080,경상북도 상주시,7
37,경상북도,040,안동시,37040,경상북도 안동시,7
37,경상북도,060,영주시,37060,경상북도 영주시,7
37,경상북도,070,영천시,37070,경상북도 영천시,7
37,경상북도,010,포항시,37010,경상북도 포항시,7
37,경상북도,370,고령군,37370,경상북도 고령군,7
37,경상북도,310,군위군,37310,경상북도 군위군,7
37,경상북도,410,봉화군,37410,경상북도 봉화군,7
37,경상북도,380,성주군,37380,경상북도 성주군,7
37,경상북도,350,영덕군,37350,경상북도 영덕군,7
37,경상북도,340,영양군,37340,경상북도 영양군,7
37,경상북도,400,예천군,37400,경상북도 예천군,7
37,경상북도,430,울릉군,37430,경상북도 울릉군,7
37,경상북도,420,울진군,37420,경상북도 울진군,7
37,경상북도,320,의성군,37320,경상북도 의성군,7
37,경상북도,360,청도군,37360,경상북도 청도군,7
37,경상북도,330,청송군,37330,경상북도 청송군,7
37,경상북도,390,칠곡군,37390,경상북도 칠곡군,7
38,경상남도,090,거제시,38090,경상남도 거제시,7
38,경상남도,070,김해시,38070,경상남도 김해시,7
38,경상남도,080,밀양시,38080,경상남도 밀양시,7
38,경상남도,060,사천시,38060,경상남도 사천시,7
38,경상남도,100,양산시,38100,경상남도 양산시,7
38,경상남도,030,진주시,38030,경상남도 진주시,7
38,경상남도,110,창원시,38110,경상남도 창원시,7
38,경상남도,050,통영시,38050,경상남도 통영시,7
38,경상남도,390,거창군,38390,경상남도 거창군,7
38,경상남도,340,고성군,38340,경상남도 고성군,7
38,경상남도,350,남해군,38350,경상남도 남해군,7
38,경상남도,370,산청군,38370,경상남도 산청군,7
38,경상남도,310,의령군,38310,경상남도 의령군,7
38,경상남도,330,창녕군,38330,경상남도 창녕군,7
38,경상남도,360,하동군,38360,경상남도 하동군,7
38,경상남도,320,함안군,38320,경상남도 함안군,7
38,경상남도,380,함양군,38380,경상남도 함양군,7
38,경상남도,400,합천군,38400,경상남도 합천군,7
35,전라북도,020,군산시,35020,전라북도 군산시,7
35,전라북도,060,김제시,35060,전라북도 김제시,7
35,전라북도,050,남원시,35050,전라북도 남원시,7
35,전라북도,030,익산시,35030,전라북도 익산시,8
35,전라북도,010,전주시,35010,전라북도 전주시,8
35,전라북도,040,정읍시,35040,전라북도 정읍시,8
35,전라북도,370,고창군,35370,전라북도 고창군,8
35,전라북도,330,무주군,35330,전라북도 무주군,8
35,전라북도,380,부안군,35380,전라북도 부안군,8
35,전라북도,360,순창군,35360,전라북도 순창군,8
35,전라북도,310,완주군,35310,전라북도 완주군,8
35,전라북도,350,임실군,35350,전라북도 임실군,8
35,전라북도,340,장수군,35340,전라북도 장수군,8
35,전라북도,320,진안군,35320,전라북도 진안군,8
36,전라남도,060,광양시,36060,전라남도 광양시,8
36,전라남도,040,나주시,36040,전라남도 나주시,8
36,전라남도,010,목포시,36010,전라남도 목포시,8
36,전라남도,030,순천시,36030,전라남도 순천시,8
36,전라남도,020,여수시,36020,전라남도 여수시,8
36,전라남도,390,강진군,36390,전라남도 강진군,8
36,전라남도,350,고흥군,36350,전라남도 고흥군,8
36,전라남도,320,곡성군,36320,전라남도 곡성군,8
36,전라남도,330,구례군,36330,전라남도 구례군,8
36,전라남도,310,담양군,36310,전라남도 담양군,8
36,전라남도,420,무안군,36420,전라남도 무안군,8
36,전라남도,360,보성군,36360,전라남도 보성군,8
36,전라남도,480,신안군,36480,전라남도 신안군,8
36,전라남도,440,영광군,36440,전라남도 영광군,8
36,전라남도,410,영암군,36410,전라남도 영암군,8
36,전라남도,460,완도군,36460,전라남도 완도군,8
36,전라남도,450,장성군,36450,전라남도 장성군,8
36,전라남도,380,장흥군,36380,전라남도 장흥군,8
36,전라남도,470,진도군,36470,전라남도 진도군,8
36,전라남도,430,함평군,36430,전라남도 함평군,8
36,전라남도,400,해남군,36400,전라남도 해남군,8
36,전라남도,370,화순군,36370,전라남도 화순군,8
39,제주특별자치도,010,제주시,39010,제주특별자치도 제주시,8
39,제주특별자치도,020,서귀포시,39020,제주특별자치도 서귀포시,8
